utr,order_ref,amount,settlement_date
UTR500016,ORD1017,5473.82,2026-06-27
UTR500027,ORD1027,14712.26,2026-06-25
UTR500044,ORD1042,18377.12,2026-07-24
UTR500002,ORD1002,3655.99,2026-06-08
UTR500050,ORD1047,16350.99,2026-06-30
UTR500065,ORD1063,10337.43,2026-07-02
UTR500031,ORD1031,21212.16,2026-06-02
UTR500048,ORD1045,15281.87,2026-06-15
UTR500041,ORD1040,24636.44,2026-07-23
UTR500069,ORD1067,16647.22,2026-07-03
UTR500063,ORD1061,13608.56,2026-06-05
UTR500078,ORD1074,14260.11,2026-06-22
UTR500042,ORD1041,6248.53,2026-07-08
UTR500032,ORD1032,13562.17,2026-06-24
UTR500072,ORD1070,13417.82,2026-06-05
UTR500019,ORD1020,16106.99,2026-07-07
UTR500062,ORD1059,10719.48,2026-06-19
UTR500006,ORD1007,18691.13,2026-06-12
UTR500083,ORD1079,13578.57,2026-07-04
UTR500055,ORD1051,21531.99,2026-06-06
UTR500082,ORD1078,15641.63,2026-07-08
UTR500071,ORD1069,7883.91,2026-06-05
UTR500018,ORD1019,6345.83,2026-07-01
UTR500079,ORD1075,16841.23,2026-06-22
UTR500056,ORD1052,16822.75,2026-06-15
UTR500054,ORD1050,15887.24,2026-06-16
UTR500011,ORD1012,20785.3,2026-07-11
UTR500014,ORD1015,6048.93,2026-06-08
UTR500080,ORD1076,3531.69,2026-07-13
UTR500010,ORD1012,20785.3,2026-07-11
UTR500070,ORD1068,5560.29,2026-06-05
UTR500020,ORD1021,21117.44,2026-07-21
UTR500087,ORD670,13363.84,2026-07-13
UTR500053,ORD1049,14606.71,2026-06-16
UTR500022,ORD1023,5388.07,2026-08-01
UTR500086,ORD627,24600.18,2026-07-22
UTR500067,ORD1065,6849.52,2026-07-27
UTR500024,ORD1024,16488.34,2026-06-27
UTR500046,ORD1044,23686.16,2026-06-12
UTR500035,ORD1035,4711.7,2026-07-30
UTR500064,ORD1062,24233.21,2026-08-04
UTR500001,ORD1001,3048.88,2026-07-19
UTR500068,ORD1066,17504.81,2026-07-18
UTR500060,ORD1056,17914.27,2026-07-15
UTR500085,ORD854,13716.48,2026-06-20
UTR500013,ORD1014,5928.09,2026-06-20
UTR500037,ORD1037,4074.13,2026-07-20
UTR500076,ORD1073,14318.13,2026-06-04
UTR500008,ORD1010,6832.67,2026-06-11
UTR500033,ORD1033,7548.45,2026-06-12
UTR500058,ORD1054,20244.18,2026-06-14
UTR500057,ORD1053,22998.23,2026-07-08
UTR500021,ORD1022,1091.88,2026-06-22
UTR500051,ORD1047,16350.99,2026-06-30
UTR500047,ORD1045,15281.87,2026-06-15
UTR500023,ORD1024,16488.34,2026-06-27
UTR500028,ORD1028,12884.3,2026-06-10
UTR500039,ORD1039,12367.56,2026-06-09
UTR500007,ORD1008,5617.25,2026-07-20
UTR500003,ORD1003,14884.17,2026-06-04
UTR500017,ORD1018,2062.64,2026-07-12
UTR500038,ORD1038,23083.12,2026-07-30
UTR500012,ORD1013,14559.6,2026-07-17
UTR500034,ORD1034,21932.57,2026-06-18
UTR500015,ORD1016,16000.41,2026-06-25
UTR500077,ORD1074,14260.11,2026-06-22
UTR500074,ORD1072,10272.26,2026-08-01
UTR500075,ORD1072,10272.26,2026-08-01
UTR500066,ORD1064,22589.34,2026-06-12
UTR500081,ORD1077,23245.75,2026-07-31
UTR500073,ORD1071,20863.25,2026-06-06
UTR500009,ORD1011,24334.96,2026-06-26
UTR500036,ORD1036,7670.59,2026-07-12
UTR500043,ORD1041,6248.53,2026-07-08
UTR500052,ORD1048,3287.8,2026-06-16
UTR500025,ORD1025,11632.64,2026-06-18
UTR500004,ORD1004,6045.72,2026-07-10
UTR500084,ORD379,7338.19,2026-06-29
UTR500030,ORD1030,9725.0,2026-07-01
UTR500040,ORD1039,12367.56,2026-06-09
UTR500045,ORD1043,13456.84,2026-06-10
UTR500059,ORD1055,10945.96,2026-06-29
UTR500026,ORD1026,14164.79,2026-06-24
UTR500029,ORD1029,15465.75,2026-07-22
UTR500061,ORD1058,6440.81,2026-06-14
UTR500005,ORD1005,17984.68,2026-07-16
UTR500049,ORD1046,18328.3,2026-06-20
