utr,order_ref,amount,settlement_date
UTR700001,ORD2001,1259.3,2026-06-17
UTR700002,ORD2002,1619.1,2026-07-09
UTR700003,ORD2003,1999.2,2026-06-16
UTR700004,ORD2004,2499.0,2026-07-17
UTR700005,ORD2005,1979.4,2026-07-09
UTR700006,ORD2006,1499.4,2026-06-23
UTR700007,ORD2007,1169.1,2026-06-07
UTR700008,ORD2008,959.4,2026-06-18
UTR700009,ORD2009,1619.1,2026-07-07
UTR700010,ORD2010,1279.2,2026-07-17
UTR700011,ORD2011,1052.19,2026-06-16
UTR700012,ORD2012,2639.2,2026-07-12
UTR700013,ORD2013,1279.2,2026-07-14
UTR700014,ORD2014,1799.0,2026-07-06
UTR700015,ORD2016,779.4,2026-06-16
UTR700016,ORD2017,2672.19,2026-06-15
UTR700017,ORD2018,575.64,2026-06-27
UTR700018,ORD2019,1049.3,2026-06-10
UTR700019,ORD2020,1799.4,2026-07-09
UTR700020,ORD2021,649.5,2026-07-03
UTR700021,ORD2022,1999.2,2026-07-12
UTR700022,ORD2023,2969.1,2026-06-26
UTR700023,ORD2024,734.51,2026-07-07
UTR700024,ORD2025,1749.3,2026-06-19
UTR700025,ORD2026,1079.4,2026-06-12
UTR700026,ORD2027,1919.36,2026-07-04
UTR700027,ORD2028,1499.5,2026-06-14
UTR700028,ORD2029,3499.0,2026-06-02
UTR700029,ORD2030,1214.19,2026-06-25
UTR700030,ORD2031,2429.19,2026-06-17
UTR700031,ORD2033,2099.4,2026-07-07
UTR700032,ORD2034,1649.5,2026-07-16
UTR700033,ORD2035,1469.51,2026-06-30
UTR700034,ORD2036,1199.2,2026-06-16
UTR700035,ORD2037,2499.0,2026-06-16
UTR700036,ORD2038,2249.1,2026-06-16
UTR700037,ORD2039,2249.1,2026-07-04
UTR700038,ORD2040,1499.0,2026-06-10
UTR700039,ORD2041,899.4,2026-06-28
UTR700040,ORD2042,1259.3,2026-06-29
UTR700041,ORD2043,2499.0,2026-06-27
UTR700042,ORD2044,1439.2,2026-06-14
UTR700043,ORD2045,2799.2,2026-06-19
UTR700044,ORD2046,899.5,2026-06-08
UTR700045,ORD2047,1999.2,2026-06-12
UTR700046,ORD2048,899.4,2026-06-05
UTR700047,ORD2049,1749.3,2026-07-01
UTR700048,ORD2050,1199.2,2026-06-20
UTR700049,ORD2051,2499.0,2026-06-05
UTR700050,ORD2052,1249.5,2026-07-02
UTR700051,ORD2053,874.75,2026-06-07
UTR700052,ORD2054,1457.19,2026-07-15
UTR700053,ORD2055,3299.0,2026-06-17
UTR700054,ORD2056,2499.0,2026-06-28
UTR700055,ORD2057,1599.0,2026-07-14
UTR700056,ORD2058,1299.0,2026-06-10
UTR700057,ORD2059,2099.3,2026-06-06
UTR700058,ORD2060,899.5,2026-06-15
