utr,order_ref,amount,settlement_date
UTR800001,ORD3001,-541.6,2026-06-20
UTR800002,ORD3003,-588.03,2026-06-16
UTR800003,ORD3004,-5743.08,2026-07-18
UTR800004,ORD3006,-2994.35,2026-06-16
UTR800005,ORD3007,-1237.15,2026-06-25
UTR800006,ORD3008,-7377.4,2026-07-19
UTR800007,ORD3009,-5653.79,2026-07-24
UTR800008,ORD3011,-9855.65,2026-06-17
UTR800009,ORD3012,-6465.14,2026-06-26
UTR800010,ORD3014,-5480.16,2026-06-18
UTR800011,ORD3015,-9897.38,2026-07-13
UTR800012,ORD3016,-6625.2,2026-06-06
UTR800013,ORD3017,-2896.09,2026-06-27
UTR800014,ORD3018,-6656.76,2026-06-28
UTR800015,ORD3019,-2691.29,2026-07-08
UTR800016,ORD3020,-4454.81,2026-07-10
UTR800017,ORD3021,-2901.09,2026-06-08
UTR800018,ORD3022,-7982.17,2026-06-30
UTR800019,ORD3023,-6079.12,2026-07-02
UTR800020,ORD3025,-7582.51,2026-07-14
UTR800021,ORD3026,-1833.13,2026-06-11
UTR800022,ORD3027,-6201.8,2026-07-13
UTR800023,ORD3028,-1781.54,2026-06-19
UTR800024,ORD3029,-3443.31,2026-06-14
UTR800025,ORD3030,-860.87,2026-07-09
UTR800026,ORD3031,-8214.43,2026-07-07
UTR800027,ORD3032,-9483.43,2026-06-13
UTR800028,ORD3033,-3264.95,2026-06-16
UTR800029,ORD3034,-4169.23,2026-07-15
UTR800030,ORD3035,-4678.42,2026-06-18
UTR800031,ORD3036,-6005.59,2026-06-17
UTR800032,ORD3037,-7165.06,2026-06-06
UTR800033,ORD3038,-8637.46,2026-06-07
UTR800034,ORD3040,-7909.81,2026-06-29
UTR800035,ORD3041,-1938.67,2026-06-29
UTR800036,ORD3042,-886.94,2026-06-24
UTR800037,ORD3043,-5500.97,2026-06-11
UTR800038,ORD3044,-2176.58,2026-06-07
UTR800039,ORD3045,-789.71,2026-07-16
UTR800040,ORD3046,-3460.22,2026-07-03
UTR800041,ORD3047,-3975.04,2026-07-10
UTR800042,ORD3048,-4402.17,2026-07-08
