utr,order_ref,amount,settlement_date
UTR900001,ORD4001,563.42,2026-06-10
UTR900002,ORD4002,1079.61,2026-06-07
UTR900003,ORD4002,1223.47,2026-06-07
UTR900004,ORD4003,5260.34,2026-06-16
UTR900005,ORD4003,4768.94,2026-06-16
UTR900006,ORD4004,3976.3,2026-07-16
UTR900007,ORD4004,9164.16,2026-07-16
UTR900008,ORD4005,2274.82,2026-06-08
UTR900009,ORD4005,1056.37,2026-06-08
UTR900010,ORD4006,2793.39,2026-06-04
UTR900011,ORD4007,1920.72,2026-07-07
UTR900012,ORD4007,950.67,2026-07-07
UTR900013,ORD4008,6350.01,2026-07-17
UTR900014,ORD4008,7930.77,2026-07-17
UTR900015,ORD4009,8742.07,2026-06-08
UTR900016,ORD4009,3852.96,2026-06-08
UTR900017,ORD4010,4697.58,2026-06-24
UTR900018,ORD4010,5836.69,2026-06-24
UTR900019,ORD4011,6609.4,2026-07-10
UTR900020,ORD4012,4360.91,2026-06-19
UTR900021,ORD4012,6272.09,2026-06-19
UTR900022,ORD4013,1844.86,2026-06-16
UTR900023,ORD4014,2290.71,2026-06-15
UTR900024,ORD4015,7949.98,2026-06-18
UTR900025,ORD4015,6319.27,2026-06-18
UTR900026,ORD4016,5439.35,2026-07-09
UTR900027,ORD4016,3644.31,2026-07-09
UTR900028,ORD4017,5670.72,2026-06-07
UTR900029,ORD4018,1198.13,2026-07-10
UTR900030,ORD4018,2093.49,2026-07-10
UTR900031,ORD4019,4841.67,2026-07-07
UTR900032,ORD4019,3578.66,2026-07-07
UTR900033,ORD4020,5778.32,2026-07-13
UTR900034,ORD4020,5446.34,2026-07-13
UTR900035,ORD4021,3621.03,2026-07-04
UTR900036,ORD4022,9521.14,2026-07-12
UTR900037,ORD4022,5167.28,2026-07-12
UTR900038,ORD4023,1991.43,2026-07-10
UTR900039,ORD4023,1300.16,2026-07-10
UTR900040,ORD4024,1191.79,2026-06-17
UTR900041,ORD4024,1485.23,2026-06-17
UTR900042,ORD4025,5081.86,2026-06-06
UTR900043,ORD4025,8163.31,2026-06-06
UTR900044,ORD4026,1433.52,2026-06-18
UTR900045,ORD4026,1491.35,2026-06-18
UTR900046,ORD4027,2826.17,2026-07-17
UTR900047,ORD4027,4519.9,2026-07-17
UTR900048,ORD4028,3838.47,2026-06-17
UTR900049,ORD4028,3732.03,2026-06-17
UTR900050,ORD4029,685.61,2026-06-02
UTR900051,ORD4029,628.9,2026-06-02
UTR900052,ORD4030,2935.48,2026-06-06
UTR900053,ORD4030,1497.65,2026-06-06
UTR900054,ORD4031,4255.63,2026-07-08
UTR900055,ORD4031,6778.04,2026-07-08
UTR900056,ORD4032,7954.63,2026-06-08
UTR900057,ORD4032,4813.66,2026-06-08
UTR900058,ORD4033,2932.23,2026-07-15
UTR900059,ORD4034,1128.28,2026-06-17
UTR900060,ORD4034,779.91,2026-06-17
UTR900061,ORD4035,3622.61,2026-07-01
UTR900062,ORD4035,4105.59,2026-07-01
UTR900063,ORD4036,4928.12,2026-06-05
UTR900064,ORD4037,9309.68,2026-06-12
UTR900065,ORD4037,4229.73,2026-06-12
UTR900066,ORD4038,1936.15,2026-06-12
UTR900067,ORD4038,2269.06,2026-06-12
UTR900068,ORD4039,3054.06,2026-06-20
UTR900069,ORD4039,1922.99,2026-06-20
UTR900070,ORD4040,5405.28,2026-06-20
UTR900071,ORD4040,5521.79,2026-06-20
UTR900072,ORD4041,5006.84,2026-06-05
UTR900073,ORD4041,4679.86,2026-06-05
UTR900074,ORD4042,5476.02,2026-06-05
UTR900075,ORD4042,2195.14,2026-06-05
UTR900076,ORD4043,663.14,2026-06-27
UTR900077,ORD4043,1363.68,2026-06-27
UTR900078,ORD4044,2523.52,2026-06-28
UTR900079,ORD4045,5957.62,2026-07-14
UTR900080,ORD4046,1755.84,2026-07-01
UTR900081,ORD4046,3227.38,2026-07-01
UTR900082,ORD4047,624.55,2026-06-06
UTR900083,ORD4047,514.18,2026-06-06
UTR900084,ORD4048,3351.04,2026-06-17
UTR900085,ORD4048,1625.97,2026-06-17
UTR900086,ORD4049,3916.78,2026-07-11
UTR900087,ORD4049,3148.48,2026-07-11
UTR900088,ORD4050,699.77,2026-07-14
UTR900089,ORD4050,416.58,2026-07-14
