utr,order_ref,amount,settlement_date
UTR1000001,ORD5001,199.0,2026-06-18
UTR1000002,ORD5002,199.0,2026-07-05
UTR1000003,ORD5003,199.0,2026-06-06
UTR1000004,ORD5004,2499.0,2026-06-13
UTR1000005,ORD5005,3558.01,2026-06-29
UTR1000006,ORD5006,499.0,2026-06-28
UTR1000007,ORD5007,499.0,2026-06-07
UTR1000008,ORD5008,999.0,2026-07-09
UTR1000009,ORD5010,2499.0,2026-06-19
UTR1000010,ORD5011,2499.0,2026-06-13
UTR1000011,ORD5012,999.0,2026-06-06
UTR1000012,ORD5013,3113.59,2026-06-30
UTR1000013,ORD5014,999.0,2026-07-13
UTR1000014,ORD5015,499.0,2026-06-16
UTR1000015,ORD5016,1372.47,2026-07-15
UTR1000016,ORD5017,499.0,2026-06-21
UTR1000017,ORD5018,499.0,2026-07-16
UTR1000018,ORD5019,2499.0,2026-06-30
UTR1000019,ORD5020,499.0,2026-07-06
UTR1000020,ORD5021,2499.0,2026-06-26
UTR1000021,ORD5022,199.0,2026-06-04
UTR1000022,ORD5023,625.7,2026-06-28
UTR1000023,ORD5025,2499.0,2026-07-05
UTR1000024,ORD5026,199.0,2026-06-28
UTR1000025,ORD5027,999.0,2026-06-12
UTR1000026,ORD5028,1159.97,2026-07-03
UTR1000027,ORD5029,199.0,2026-06-21
UTR1000028,ORD5030,999.0,2026-06-16
UTR1000029,ORD5031,499.0,2026-07-02
UTR1000030,ORD5032,499.0,2026-07-13
UTR1000031,ORD5033,999.0,2026-07-04
UTR1000032,ORD5034,499.0,2026-07-15
UTR1000033,ORD5035,2499.0,2026-07-12
UTR1000034,ORD5036,2499.0,2026-06-16
UTR1000035,ORD5037,199.0,2026-07-06
UTR1000036,ORD5038,237.12,2026-07-16
UTR1000037,ORD5039,999.0,2026-07-03
UTR1000038,ORD5040,2499.0,2026-06-09
UTR1000039,ORD5041,199.0,2026-07-01
UTR1000040,ORD5042,199.0,2026-07-13
UTR1000041,ORD5043,3732.67,2026-06-04
UTR1000042,ORD5044,999.0,2026-06-22
UTR1000043,ORD5045,499.0,2026-06-13
UTR1000044,ORD5046,2499.0,2026-06-18
UTR1000045,ORD5047,2499.0,2026-06-07
UTR1000046,ORD5048,199.0,2026-06-16
UTR1000047,ORD5050,2499.0,2026-06-25
