utr,order_ref,amount,settlement_date
UTR1100001,ORD6001,17651.89,2026-06-17
UTR1100002,ORD6002,14176.05,2026-06-04
UTR1100003,ORD6003,10353.43,2026-06-03
UTR1100004,ORD6004,5661.16,2026-07-09
UTR1100005,ORD6005,16653.01,2026-06-23
UTR1100006,ORD6006,2940.68,2026-06-26
UTR1100007,ORD6007,19160.84,2026-07-01
UTR1100008,ORD6008,11263.79,2026-07-12
UTR1100009,ORD6009,14238.15,2026-06-04
UTR1100010,ORD6010,20269.69,2026-06-08
UTR1100011,ORD6011,4331.48,2026-06-24
UTR1100012,ORD6012,14604.92,2026-06-12
UTR1100013,ORD6014,16341.8,2026-06-05
UTR1100014,ORD6015,9819.62,2026-06-06
UTR1100015,ORD6016,5481.36,2026-07-03
UTR1100016,ORD6017,5664.16,2026-06-17
UTR1100017,ORD6018,19284.19,2026-06-29
UTR1100018,ORD6019,23537.28,2026-06-10
UTR1100019,ORD6020,17290.51,2026-06-11
UTR1100020,ORD6022,19435.03,2026-06-02
UTR1100021,ORD6023,18274.28,2026-06-23
UTR1100022,ORD6025,18347.82,2026-06-21
UTR1100023,ORD6026,4105.66,2026-06-12
UTR1100024,ORD6027,14370.54,2026-07-03
UTR1100025,ORD6028,5788.52,2026-06-17
UTR1100026,ORD6029,18380.82,2026-07-06
UTR1100027,ORD6030,6687.77,2026-07-10
UTR1100028,ORD6032,21288.93,2026-06-30
UTR1100029,ORD6033,7091.67,2026-07-09
UTR1100030,ORD6034,639.22,2026-07-17
UTR1100031,ORD6035,21422.53,2026-06-23
UTR1100032,ORD6036,15982.0,2026-06-15
UTR1100033,ORD6037,5865.94,2026-07-02
UTR1100034,ORD6038,15752.01,2026-06-24
UTR1100035,ORD6039,16082.94,2026-07-13
UTR1100036,ORD6040,19010.45,2026-06-08
UTR1100037,ORD6041,3814.41,2026-06-13
UTR1100038,ORD6042,10785.26,2026-07-07
UTR1100039,ORD6043,22885.43,2026-06-17
UTR1100040,ORD6045,638.42,2026-06-26
UTR1100041,ORD6046,8747.65,2026-07-07
UTR1100042,ORD6048,17799.73,2026-06-05
UTR1100043,ORD6049,1897.62,2026-07-04
UTR1100044,ORD6050,15490.79,2026-07-15
